               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10901,            0.038727,            0.027766,            0.050705,            0.068244,            0.020335,           0.0040908,            0.082807,            0.034124,            0.021369,              0.0029,              0.0029,              0.0739
                   1,            0.087694,            0.041769,            0.017528,             0.54498,             0.20149,            0.035834,           0.0056445,            0.096015,            0.029983,           0.0091534,           0.0057053,           0.0057053,            0.046705
                   2,            0.080281,            0.041557,            0.010876,             0.67812,             0.20362,              0.1551,            0.031413,              0.0767,            0.030637,           0.0082751,           0.0083126,           0.0083126,            0.019313
                   3,            0.074178,            0.040422,           0.0077933,             0.68626,             0.23987,             0.16941,            0.037643,            0.073371,            0.039245,           0.0035624,             0.00901,             0.00901,             0.00901
                   4,            0.067853,            0.037506,           0.0056088,             0.67174,             0.23348,             0.16586,            0.037272,            0.067288,            0.031983,           0.0066399,             0.00901,             0.00901,             0.00901
                   5,            0.060575,            0.034667,           0.0043514,             0.85071,             0.41365,              0.4164,             0.10042,            0.054842,            0.030231,           0.0029765,             0.00868,             0.00868,             0.00868
                   6,            0.057303,            0.032713,           0.0032803,             0.30378,             0.62368,             0.39898,               0.165,            0.044979,            0.026441,           0.0021893,             0.00835,             0.00835,             0.00835
                   7,            0.052383,            0.033031,           0.0030236,             0.49629,             0.63787,             0.59388,             0.22266,            0.040312,            0.025824,            0.001713,             0.00802,             0.00802,             0.00802
                   8,            0.048366,            0.031329,           0.0021615,             0.53277,             0.68885,             0.70469,             0.28301,            0.049083,            0.023093,           0.0017005,             0.00769,             0.00769,             0.00769
                   9,             0.04776,            0.029281,            0.002374,             0.79694,             0.78958,             0.79775,             0.29819,            0.037777,            0.021146,           0.0015551,             0.00736,             0.00736,             0.00736
                  10,            0.044858,            0.028158,           0.0020943,             0.73245,             0.71374,             0.70524,             0.27178,            0.039826,            0.023451,           0.0016321,             0.00703,             0.00703,             0.00703
                  11,            0.045378,            0.028293,           0.0021339,             0.77116,             0.73721,             0.76054,             0.34028,            0.034126,            0.022099,           0.0015797,              0.0067,              0.0067,              0.0067
                  12,            0.040759,            0.028663,           0.0017277,              0.7777,              0.7853,             0.79151,             0.36046,            0.035431,            0.020334,           0.0012549,             0.00637,             0.00637,             0.00637
                  13,             0.04044,             0.02727,           0.0019026,             0.87545,             0.84513,             0.85568,              0.3741,            0.034068,            0.019886,           0.0013115,             0.00604,             0.00604,             0.00604
                  14,            0.040529,            0.026977,           0.0016714,             0.88205,             0.83657,             0.86295,             0.36259,            0.034617,            0.019414,           0.0012579,             0.00571,             0.00571,             0.00571
                  15,            0.039067,            0.027045,           0.0016795,             0.88117,             0.83658,             0.86743,             0.41986,            0.031445,            0.019474,           0.0011742,             0.00538,             0.00538,             0.00538
                  16,            0.039106,            0.027382,           0.0015857,             0.88047,              0.8791,             0.89108,             0.42764,            0.031789,            0.018719,           0.0011299,             0.00505,             0.00505,             0.00505
                  17,            0.037016,             0.02572,           0.0015884,             0.86859,             0.85467,             0.87823,             0.44727,            0.030998,            0.018549,           0.0011187,             0.00472,             0.00472,             0.00472
                  18,            0.036915,            0.025985,            0.001043,             0.90504,             0.86955,             0.89957,             0.41379,             0.03311,            0.018123,           0.0010764,             0.00439,             0.00439,             0.00439
                  19,            0.037216,            0.026733,           0.0013416,             0.88623,             0.89506,             0.90252,             0.46605,            0.030008,            0.017933,           0.0010586,             0.00406,             0.00406,             0.00406
                  20,            0.035928,            0.027274,           0.0010834,             0.89614,             0.87716,             0.89096,             0.45614,            0.029886,            0.017947,           0.0010012,             0.00373,             0.00373,             0.00373
                  21,              0.0347,             0.02491,           0.0009323,             0.92374,             0.89532,             0.91984,             0.48091,            0.029331,            0.017527,           0.0009672,              0.0034,              0.0034,              0.0034
                  22,            0.034504,            0.025658,           0.0013401,              0.9091,             0.90481,             0.91988,             0.47528,            0.029463,            0.017542,          0.00087462,             0.00307,             0.00307,             0.00307
                  23,            0.034222,             0.02452,           0.0013511,             0.93154,              0.9124,             0.92302,             0.49314,            0.028297,            0.017358,          0.00080525,             0.00274,             0.00274,             0.00274
                  24,            0.034016,            0.024993,            0.001342,             0.90644,             0.90814,             0.91024,             0.46228,            0.029539,             0.01779,          0.00082833,             0.00241,             0.00241,             0.00241
                  25,             0.03365,            0.025278,          0.00097587,             0.90489,             0.92417,              0.9258,             0.49046,            0.028358,            0.017567,          0.00085495,             0.00208,             0.00208,             0.00208
                  26,            0.033351,            0.024848,          0.00065446,             0.91539,             0.91027,             0.92939,             0.48827,            0.028038,            0.017209,          0.00081251,             0.00175,             0.00175,             0.00175
                  27,            0.032642,            0.024664,          0.00093245,             0.93296,             0.93149,             0.94198,             0.51128,            0.027496,            0.016753,          0.00081924,             0.00142,             0.00142,             0.00142
                  28,            0.032747,            0.025204,           0.0008076,               0.913,               0.922,              0.9252,             0.50709,            0.027799,            0.016828,          0.00081052,             0.00109,             0.00109,             0.00109
                  29,            0.032847,             0.02437,          0.00091119,             0.93677,             0.93159,             0.93757,             0.50469,            0.027992,            0.016667,          0.00079448,             0.00076,             0.00076,             0.00076
